,jp,en
0,〜ないで,"〜ないで


ALSO MEANS INSTEAD OF (text of grammar points is not available for download)
"
1,ことにする,"ことにする


Pay attention to the past tense meaning ことにする ことにする to decide to
to pretend that
to make a practice of doing
to make it a rule to
"
2,倍,"倍
ばい

twice
double
times
-fold
"
3,心,"心
こころ

mind
heart
spirit
the meaning of a phrase (riddle, etc.)
"
4,用,"用
よう

task
business
use
duty
service
call of nature
excretion
"
5,客,"客
きゃく
かく

guest
visitor
customer
client
shopper
spectator
audience
tourist
sightseer
passenger
"
6,娘,"娘
むすめ (

my) daughter
girl (i.e. a young, unmarried woman)
"
7,形,"形
かたち

form
shape
figure
visage
"
8,首,"首
くび

neck
head
dismissal
discharge
firing (from a job)
"
9,湖,"湖
みずうみ

lake
"
10,力,"力
ちから

force
strength
might
vigour (vigor)
energy
capability
ability
proficiency
capacity
faculty
efficacy
effect
effort
endeavours (endeavors)
exertions
power
authority
influence
good offices
agency
support
help
aid
assistance
stress
emphasis
means
resources
"
11,枝,"枝
えだ

branch
bow
bough
twig
limb
"
12,指,"指
ゆび
および
おゆび

finger
toe
digit
"
13,点,"点
てん

spot
mark
point
dot
mark (e.g. in exam)
score
points
comma
aspect
matter
respect
counter for goods, items, articles of clothing, works of art, etc.
"
14,石,"石
いし

stone
gem
jewel
"
15,棚,"棚
たな

shelf
shelves
ledge
rack
trellis
"
16,絹,"絹
きぬ

silk
"
17,葉,"葉
は

leaf
"
18,草,"草
くさ

grass
weed
herb
thatch
ninja
not genuine
substandard
"
19,港,"港
みなと

harbour
harbor
port
"
20,毛,"毛
け

hair
fur
wool
down
plumage
feathers
"
21,妻,"妻
つま

wife
my dear
dear
honey
garnish (esp. one served with sashimi)
embellishment
"
22,糸,"糸
いと

thread
yarn
string
"
23,君,"君
くん

Mr (junior)
master
boy
"
24,畳,"畳
たたみ

tatami mat
Japanese straw floor coverings
"
25,字,"字
じ

character (i.e. kanji)
hand-writing
penmanship
the ... word (i.e. ""the L word"" = ""love"")
"
26,億,"億
おく 10^8; 100,000,000;

hundred million
"
27,米,"米
こめ
よね
めめ (

husked grains of) rice
88 years old
"
28,別,"別
べつ
べち

distinction
difference
different
another
particular
separate
extra
exception
"
29,都,"都
と

metropolitan
municipal
"
30,市,"市
し

city
"
31,時間,"時間
じかん

time
hours (period of)
"
32,一つ,"一つ
ひとつ

one
for one thing
only
(not) even
just (e.g. ""just try it"")
"
33,大人,"大人
おとな
だいにん

adult
"
34,出す,"出す
だす

to take out
to get out
to put out
to reveal
to show
to submit (e.g. thesis)
to turn in
to publish
to make public
to send (e.g. letter)
to produce (a sound)
to start (fire)
to serve (food)
to begin ...
to start to ...
to burst into ...
"
35,出る,"出る
でる

to leave
to exit
to go out
to come out
to get out
to leave (on a journey)
to depart
to start out
to set out
to move forward
to come to
to get to
to lead to
to reach
to appear
to come out
to emerge
to surface
to come forth
to turn up
to be found
to be detected
to be discovered
to be exposed
to show
to be exhibited
to be on display
to appear (in print)
to be published
to be announced
to be issued
to be listed
to come out
to attend
to participate
to take part
to enter (an event)
to play in
to perform
to be stated
to be expressed
to come up
to be brought up
to be raised
to sell
to exceed
to go over
to stick out
to protrude
to break out
to occur
to start
to originate
to be produced
to come from
to be derived from
to be given
to get
to receive
to be offered
to be provided
to be presented
to be submitted
to be handed in
to be turned in
to be paid
to answer (phone, door, etc.)
to get
to assume (an attitude)
to act
to behave
to pick up (speed, etc.)
"
36,三つ,"三つ
みっつ
みつ

three
"
37,川,"川
かわ
がわ

river
stream
the .... river
(suffix used with the names of rivers)
"
38,少し,"少し
すこし

small quantity
little
few
something
little while
short distance
"
39,四つ,"四つ
よっつ
よつ

four
"
40,何,"何
なに
なん

what
how many
you-know-what
that
whatsit
what's the expression
what do you call them
what?
hey!
"
41,名前,"名前
なまえ

name
full name
given name
first name
"
42,六,"六
ろく
む
むう

six
"
43,走る,"走る
はしる

to run
to travel (movement of vehicles)
to drive
to hurry to
to retreat (from battle)
to take flight
to run away from home
to elope
to tend heavily toward
to flash
to streak
to shoot through (e.g. pain)
"
44,左,"左
ひだり

left
left hand side
"
45,地図,"地図
ちず

map
"
46,大きい,"大きい
おおきい

big
large
great
loud
"
47,どこ,"どこ
どこ

where
what place
how much (long, far)
what extent
"
48,五つ,"五つ
いつつ

five
"
49,読む,"読む
よむ

to read
to count
to guess
to predict
to read (someone's thoughts)
to see (e.g. into someone's heart)
to divine
"
50,五,"五
ご
いつ
い

five
"
51,また,"また
また

again
and
also
still (doing something)
"
52,これ,"これ
これ

this (indicating an item near the speaker, the action of the speaker, or the current topic)
this person (usu. indicating someone in one's in-group)
now
here
I (me)
certainly
"
53,毎月,"毎月
まいつき
まいげつ

every month
each month
monthly
"
54,本,"本
ほん
ぽん

book
volume
script
this
present
main
head
real
regular
counter for long cylindrical things
counter for films, TV shows, etc.
counter for goals, home runs, etc.
counter for telephone calls
"
55,午前,"午前
ごぜん

morning
a.m.
"
56,同じ,"同じ
おなじ
おんなじ

same
identical
equal
uniform
equivalent
similar
common (origin)
changeless
alike
(usu. part of a 'nara' conditional) anyway
anyhow
in either case
"
57,ここ,"ここ
ここ

here (place physically close to the speaker, place pointed by the speaker while explaining)
this place
these last (followed by a duration noun and a past sentence: time period before the present time of the speaker)
these next ... (followed by a duration noun and a non past sentence: time period after the present time of the speaker)
the next ...
"
58,右,"右
みぎ

right
right hand side
afore-mentioned (esp. in vertical Japanese writing)
foregoing
forgoing
above
"
59,聞く,"聞く
きく

to hear
to listen (e.g. to music)
to ask
to enquire
to query
to learn of
to hear about
to follow (advice)
to comply with
to smell (esp. incense)
to sample fragrance
"
60,話,"話
はなし

talk
speech
chat
story
conversation
discussions
negotiation
argument
"
61,重い,"重い
おもい

heavy
weighty
massive
heavy (feeling)
depressed
gloomy
blue
uneasy
slow
sluggish
lumbering
ponderous
clumsy
important
serious
grave
serious
severe
critical
solid
established
dignified
sensible
"
62,毎年,"毎年
まいとし
まいねん

every year
yearly
annually
"
63,食べる,"食べる
たべる

to eat
to live on (e.g. a salary)
to live off
to subsist on
"
